id_detail,id_order,id_product,amount,unit_price
1,13126,659,47,14.99
2,4972,328,7,7.99
3,30727,147,2,34.99
4,5999,166,31,19.99
5,43214,291,21,12.99
6,20657,205,45,5.99
7,22406,791,6,29.99
8,19634,489,36,2.29
9,45362,129,18,5.49
10,30371,642,32,19.99
11,34909,286,28,99.99
12,14246,530,27,4.99
13,1486,474,23,3.79
14,42705,385,5,2.49
15,15337,311,4,199.99
16,42180,135,36,1.89
17,43731,352,15,3.99
18,47063,714,15,39.99
19,10766,266,12,99.99
20,5489,89,19,349.99
21,22035,122,38,45.99
22,5358,416,38,2.49
23,19790,389,44,34.99
24,24456,606,33,54.99
25,47582,785,11,24.99
26,24990,303,3,29.99
27,37284,694,8,3.99
28,49267,369,44,24.99
29,1998,51,34,4.99
30,45513,763,42,39.99
31,18542,450,31,0.99
32,8404,446,33,29.99
33,8916,509,40,3.79
34,17638,13,8,9.99
35,44475,138,22,39.99
36,23480,792,38,7.99
37,24061,104,41,4.29
38,10583,774,35,4.79
39,39421,481,11,49.99
40,49124,421,36,3.79
41,16091,617,37,23.99
42,42364,111,4,39.99
43,41126,758,9,3.69
44,18490,399,12,5.49
45,606,376,41,29.99
46,47193,490,29,5.99
47,47269,739,38,2.89
48,6545,454,24,14.99
49,28117,784,35,14.99
50,31033,581,49,3.99
51,44979,14,20,14.99
52,4823,467,49,299.99
53,28543,96,45,49.99
54,27703,264,6,3.99
55,48006,165,43,1.99
56,1799,798,29,8.99
57,941,512,33,29.99
58,48107,564,20,10.99
59,19592,376,40,29.99
60,47552,233,10,3.29
61,36510,477,5,14.99
62,46648,253,26,3.49
63,11767,588,8,34.99
64,9336,342,39,2.29
65,15461,190,8,2.99
66,41609,670,6,1.99
67,42514,390,25,34.99
68,12358,189,23,24.99
69,38660,708,7,2.99
70,31559,28,4,39.99
71,9013,439,34,12.99
72,1493,747,6,149.99
73,48528,420,47,39.99
74,21158,128,30,9.99
75,41098,27,38,19.99
76,4674,741,38,5.99
77,38667,341,4,8.99
78,49605,764,13,19.99
79,47036,647,12,29.99
80,523,342,50,3.29
81,25090,637,12,7.99
82,30022,407,40,3.49
83,2728,245,22,24.99
84,32288,564,50,14.99
85,30261,235,31,19.99
86,3240,41,16,29.99
87,3905,549,5,12.99
88,2892,699,7,0.75
89,40794,745,50,29.99
90,3219,706,34,1.79
91,10024,85,35,4.99
92,45878,93,42,3.49
93,8996,394,39,8.99
94,19899,437,40,199.99
95,904,263,15,2.89
96,36198,590,35,8.49
97,27538,123,24,69.99
98,23628,92,39,5.99
99,28690,788,36,2.99
100,42952,347,7,99.99
101,21604,154,16,1.99
102,14704,696,50,49.99
103,47553,260,24,39.99
104,7354,66,33,3.99
105,41202,76,31,64.99
106,45388,329,8,39
107,49388,140,25,3.49
108,48254,64,4,4.99
109,2658,498,40,3.99
110,11122,564,34,69.99
111,5611,530,13,149.99
112,47340,348,25,79.99
113,27827,433,18,8.99
114,36005,719,46,4.29
115,40248,786,22,49.99
116,7426,694,2,89.99
117,47996,56,25,49.99
118,4946,345,38,19.99
119,35281,322,27,3.99
120,36739,52,50,99.99
121,13101,385,14,4.19
122,30794,271,43,5.49
123,46591,135,9,22.99
124,14230,9,10,3.29
125,28268,792,5,4.99
126,21083,266,19,18.99
127,36270,144,27,3.99
128,18046,241,7,10.99
129,2145,743,50,49.99
130,15311,317,42,2.99
131,1614,528,38,3.59
132,49097,708,45,39.99
133,28228,518,21,59.99
134,37616,286,1,349.99
135,45265,176,15,5.99
136,37652,657,18,59.99
137,34067,21,21,2.79
138,39178,264,37,19.99
139,38138,478,8,5.99
140,39453,503,30,3.5
141,24849,507,6,39.99
142,199,453,44,3.99
143,36490,85,2,1.29
144,31885,494,39,29.99
145,24208,317,29,4.99
146,3064,191,13,8.99
147,31278,41,23,2.99
148,16779,515,27,1.99
149,16489,340,6,54.99
150,677,590,24,3.39
151,27171,362,27,34.99
152,46101,95,14,8.99
153,30524,96,31,4.99
154,3931,183,49,5.49
155,8331,703,45,12.99
156,16855,393,45,2.49
157,40214,778,14,5.49
158,11217,115,24,29.99
159,34781,295,24,49.99
160,46948,284,37,3.99
161,20405,460,26,4.29
162,7814,192,45,3.59
163,41189,499,32,6.99
164,27699,753,3,6.99
165,25499,732,30,119.99
166,16676,703,9,6.99
167,8248,620,30,39.99
168,42352,31,50,249.99
169,42456,591,3,59.99
170,14703,143,1,3.49
171,1192,724,29,2.99
172,46812,449,40,69.99
173,39840,759,20,4.99
174,39856,466,15,29.99
175,21063,159,50,9.99
176,12016,106,47,2.79
177,3060,434,28,349.99
178,46065,339,25,3.99
179,35289,255,25,14.99
180,5788,152,29,3.59
181,22670,616,31,34.99
182,7614,471,9,15.99
183,26498,360,20,399.99
184,22797,317,33,30
185,825,94,12,2.99
186,45963,570,26,3.49
187,40096,756,9,5.49
188,47910,34,49,29.99
189,15471,689,41,9.99
190,2946,541,35,22.99
191,3263,113,15,4.19
192,26650,63,34,4.29
193,3295,477,32,5.49
194,2017,539,44,4.99
195,17481,260,48,22.99
196,35159,759,46,19.99
197,33775,339,27,25.99
198,11925,214,28,22.99
199,2432,249,15,34.99
200,27641,658,26,2.99
201,25321,301,35,199.99
202,8019,566,19,34.99
203,23639,686,43,8.99
204,17928,363,4,3.29
205,40584,234,27,25.99
206,30020,596,16,3.99
207,378,706,23,2.49
208,2568,729,14,39.99
209,15371,188,24,34.99
210,42005,40,22,2.29
211,45340,447,44,25.99
212,45571,403,40,34.99
213,2751,727,31,19.99
214,36872,661,24,3.49
215,26465,480,19,19.99
216,45368,566,8,3.49
217,17429,333,27,3.29
218,26316,394,24,39.99
219,32725,385,39,19.99
220,44272,6,29,69.99
221,48430,544,28,19.99
222,7777,25,18,1.99
223,33715,332,32,3.49
224,14187,589,38,2.49
225,32894,784,2,9.99
226,15337,392,9,8.99
227,25083,35,17,24.99
228,30923,352,28,12.99
229,35203,732,22,12.99
