id_order,id_client,order_date,state
1,639,2012-11-27,reserved
2,1314,2013-06-05,purchased
3,691,2017-09-22,reserved
4,1418,2015-07-24,delivered
5,367,2004-04-01,delivered
6,911,2020-01-22,purchased
7,1206,2002-01-13,purchased
8,1150,2007-01-31,purchased
9,744,2017-12-25,purchased
10,1051,2017-10-19,purchased
11,1034,2016-04-02,returned
12,1344,2007-12-27,rejected
13,1446,2000-02-18,delivered
14,787,2021-10-30,rejected
15,102,2007-03-13,returned
16,319,2001-03-22,reserved
17,1417,2018-01-11,rejected
18,651,2000-08-17,reserved
19,164,2000-11-09,returned
20,3,2006-10-29,reserved
21,363,2017-05-22,purchased
22,523,2013-07-22,purchased
23,518,2011-07-31,delivered
24,947,2015-12-03,reserved
25,1316,2010-08-16,reserved
26,948,2018-03-01,purchased
27,720,2016-03-22,returned
28,273,2015-03-06,delivered
29,1335,2020-07-16,rejected
30,626,2012-07-21,returned
31,655,2000-05-27,rejected
32,1129,2002-04-23,returned
33,902,2008-12-11,purchased
34,1335,2015-12-18,rejected
35,330,2012-05-05,rejected
36,1218,2014-01-26,rejected
37,1342,2003-01-27,returned
38,20,2017-07-14,reserved
39,966,2002-02-24,purchased
40,289,2014-11-11,reserved
41,486,2008-11-21,returned
42,471,2021-04-15,returned
43,1159,2008-12-01,reserved
44,1035,2015-09-22,delivered
45,162,2006-03-15,delivered
46,1068,2024-08-15,reserved
47,625,2019-11-30,reserved
48,1325,2024-09-17,delivered
49,567,2000-01-05,returned
50,102,2024-03-26,purchased
51,907,2015-04-14,returned
52,1153,2021-07-26,reserved
53,187,2012-03-25,rejected
54,1173,2021-08-16,returned
55,790,2002-09-06,returned
56,1470,2005-09-03,reserved
57,904,2012-07-20,delivered
58,996,2010-06-29,rejected
59,1346,2022-06-29,purchased
60,518,2012-01-21,returned
61,1128,2008-12-07,reserved
62,1424,2012-12-09,reserved
63,134,2020-04-27,reserved
64,689,2009-08-28,returned
65,1020,2009-06-16,returned
66,232,2012-01-09,delivered
67,1163,2014-05-05,purchased
68,1358,2004-01-25,reserved
69,410,2016-05-14,returned
70,500,2005-05-12,returned
71,257,2004-04-14,purchased
72,1208,2021-02-12,delivered
73,457,2002-08-16,reserved
74,523,2009-03-21,delivered
75,414,2001-10-10,rejected
76,1378,2010-12-12,returned
77,7,2019-09-23,purchased
78,1364,2016-05-30,reserved
79,580,2016-12-18,purchased
80,1064,2021-10-15,rejected
81,185,2024-11-26,delivered
82,439,2008-07-11,reserved
83,689,2023-02-04,rejected
84,1487,2009-10-09,rejected
85,1170,2006-01-04,returned
86,706,2008-08-12,returned
87,432,2013-02-03,returned
88,957,2016-06-11,rejected
89,1119,2018-06-18,rejected
90,129,2019-11-04,rejected
91,495,2004-01-21,returned
92,257,2015-07-25,rejected
93,1430,2016-10-15,rejected
94,205,2005-06-02,reserved
95,896,2005-11-27,rejected
96,693,2019-06-29,returned
97,306,2005-08-02,rejected
98,1446,2008-06-18,rejected
99,37,2008-01-14,returned
100,1474,2017-11-26,reserved
101,615,2015-05-31,rejected
102,658,2017-11-12,reserved
103,1314,2005-01-20,purchased
104,279,2003-01-20,purchased
105,725,2006-10-12,reserved
106,109,2010-02-11,purchased
107,764,2006-01-13,rejected
108,487,2022-01-05,rejected
109,1058,2014-10-14,reserved
110,1353,2010-08-07,returned
111,210,2011-06-11,delivered
112,576,2007-08-16,reserved
113,174,2015-06-05,returned
114,429,2000-12-29,delivered
115,1289,2006-01-15,reserved
116,806,2004-10-22,rejected
117,907,2022-09-23,returned
118,511,2009-11-09,returned
119,688,2012-06-25,rejected
120,1273,2020-04-24,purchased
121,1014,2006-09-15,reserved
122,583,2010-07-03,delivered
123,745,2014-04-13,reserved
124,1237,2007-04-08,returned
125,331,2020-05-25,rejected
126,831,2014-12-24,reserved
127,343,2019-02-14,delivered
128,1020,2010-06-11,returned
129,1262,2015-06-10,returned
130,691,2003-01-12,reserved
131,492,2011-02-04,purchased
132,1175,2020-09-16,purchased
133,714,2004-04-10,reserved
134,775,2020-08-08,purchased
135,540,2015-10-02,rejected
136,550,2013-09-22,returned
137,1388,2016-04-09,returned
138,192,2007-03-14,returned
139,870,2024-12-18,rejected
140,840,2020-08-05,purchased
141,1153,2010-10-27,reserved
142,1297,2012-08-02,rejected
143,330,2003-03-05,purchased
