id_inventory,id_product,location,current_stock,last_update_date
1,584,Nigeria,847,2025-10-20
2,662,Canada,753,2025-11-05
3,649,Colombia,29,2024-11-02
4,338,Czech Republic,99,2025-02-27
5,185,Thailand,762,2025-04-09
6,436,Canada,184,2024-11-27
7,613,Finland,646,2025-04-04
8,191,Russia,620,2025-09-26
9,69,Mongolia,296,2025-02-10
10,596,Sweden,854,2025-08-22
11,71,China,560,2024-12-13
12,455,China,907,2024-01-27
13,661,United States,73,2025-04-27
14,121,Poland,855,2025-06-25
15,147,Colombia,816,2024-04-26
16,627,Poland,679,2024-04-29
17,220,China,461,2025-09-10
18,724,Costa Rica,804,2024-05-30
19,628,Honduras,466,2024-06-24
20,399,China,209,2024-11-05
21,405,Thailand,852,2024-11-23
22,786,Japan,36,2024-11-10
23,347,United Kingdom,514,2024-07-28
24,606,United States,696,2024-10-22
25,303,China,441,2024-04-29
26,616,China,710,2025-11-22
27,209,Ukraine,325,2025-08-31
28,248,Armenia,943,2025-10-01
29,247,Indonesia,775,2025-09-02
30,317,Saudi Arabia,390,2025-12-03
31,78,Philippines,639,2025-12-11
32,402,Brazil,584,2024-02-11
33,139,Russia,223,2024-12-23
34,203,Thailand,369,2024-05-17
35,787,Nigeria,590,2024-12-10
36,109,Portugal,500,2024-10-25
37,653,China,366,2024-01-19
38,625,China,703,2025-07-08
39,320,Iraq,915,2025-05-07
40,576,Vietnam,783,2024-09-14
41,674,Indonesia,979,2025-06-11
42,123,Philippines,495,2025-11-21
43,339,Indonesia,286,2024-12-21
44,74,Croatia,226,2024-12-28
45,3,Croatia,404,2024-03-11
46,659,Guatemala,155,2025-05-03
47,262,Philippines,246,2025-04-29
48,796,China,561,2024-10-01
49,443,Philippines,961,2025-12-08
50,426,Pakistan,741,2025-10-11
51,543,China,743,2025-04-13
52,712,United States,637,2025-04-21
53,294,Colombia,445,2025-12-25
54,777,China,581,2025-06-28
55,554,Saint Pierre and Miquelon,423,2024-11-17
56,153,Pakistan,924,2024-06-18
57,364,China,579,2024-03-05
58,94,Japan,976,2024-09-19
59,564,China,964,2024-11-23
60,164,China,698,2025-03-13
61,61,Bolivia,27,2024-10-09
62,501,South Africa,713,2025-02-14
63,384,China,435,2024-02-09
64,484,Algeria,84,2025-06-16
65,4,Spain,368,2024-12-25
66,7,Russia,503,2024-06-03
67,645,Argentina,867,2025-03-23
68,251,Russia,23,2025-08-30
69,358,Honduras,600,2025-01-19
70,719,Tanzania,836,2024-09-17
71,736,Brazil,729,2024-05-10
72,471,Russia,976,2024-12-27
73,35,Cyprus,953,2024-05-08
74,342,Philippines,319,2025-11-12
75,701,United States,856,2024-08-03
76,646,France,304,2024-06-10
77,412,China,954,2024-05-29
78,572,Indonesia,234,2025-09-11
79,775,Canada,623,2025-01-24
80,671,China,298,2025-03-27
81,152,China,590,2025-12-28
82,231,Palestinian Territory,549,2025-10-23
83,309,Japan,616,2024-08-30
84,542,Pakistan,538,2024-12-27
85,639,Thailand,984,2024-08-19
86,387,Kazakhstan,278,2025-01-28
87,140,Tunisia,717,2024-07-05
88,647,Dominican Republic,896,2024-03-16
89,326,Canada,583,2024-02-08
90,346,China,825,2024-02-09
91,103,South Korea,77,2025-05-03
92,696,Uruguay,423,2025-02-18
93,386,Indonesia,602,2024-06-14
94,406,Oman,517,2024-10-28
95,368,North Korea,44,2024-12-12
96,473,Canada,264,2024-12-31
97,398,Norway,68,2024-01-05
98,127,North Korea,842,2025-11-16
99,195,Estonia,570,2025-09-05
100,11,Mexico,62,2024-11-06
101,515,Czech Republic,820,2024-10-09
102,12,Mongolia,613,2025-01-10
103,14,Philippines,632,2024-11-01
104,15,Indonesia,517,2024-08-10
105,16,Armenia,470,2025-04-27
106,593,Saudi Arabia,50,2025-03-13
107,722,Poland,104,2025-12-23
108,440,Pakistan,16,2025-08-21
109,252,China,535,2025-03-06
110,270,China,591,2025-01-20
111,25,Brazil,243,2024-11-29
112,488,Philippines,443,2025-08-11
113,189,Brazil,646,2025-04-09
114,217,Indonesia,607,2024-04-10
115,79,Tajikistan,967,2024-11-03
116,427,Philippines,222,2025-01-31
117,370,Libya,682,2024-08-02
118,390,Indonesia,718,2024-05-06
119,797,Mauritania,798,2024-08-31
120,225,France,767,2024-10-23
121,672,China,155,2025-04-14
122,478,Canada,266,2025-10-27
123,290,Brazil,245,2024-04-15
124,773,Ukraine,224,2024-07-12
125,253,France,647,2025-08-15
126,690,Yemen,199,2025-11-27
127,39,China,27,2024-11-11
128,511,Belize,143,2024-08-21
129,29,Malaysia,281,2024-12-18
130,726,Colombia,566,2025-01-15
131,307,Yemen,744,2024-03-16
132,568,Sweden,184,2024-10-08
133,37,Indonesia,31,2025-02-25
134,352,China,1000,2025-11-12
135,202,China,352,2024-07-09
136,532,Ukraine,940,2025-12-18
137,240,Macedonia,687,2024-12-27
138,175,Uzbekistan,589,2025-07-31
139,401,Chile,390,2025-07-12
140,280,Indonesia,526,2024-09-15
141,182,Armenia,828,2025-04-11
142,20,China,341,2024-12-17
143,122,Indonesia,790,2025-08-11
144,789,China,773,2025-02-26
145,594,United States,145,2024-09-13
146,378,China,442,2024-07-25
147,38,Russia,832,2024-06-19
148,331,Japan,366,2025-03-17
149,739,Belarus,532,2025-02-15
150,684,France,989,2025-01-03
151,42,Palestinian Territory,592,2024-09-20
152,660,United States,262,2025-09-18
153,676,Portugal,789,2025-11-18
154,503,Argentina,892,2025-01-23
155,548,Indonesia,267,2024-04-29
156,44,Philippines,962,2024-06-23
157,62,Portugal,812,2024-01-12
158,555,Malaysia,879,2024-07-28
159,48,Poland,911,2025-01-06
160,53,Indonesia,567,2025-03-01
161,207,Colombia,212,2025-06-25
162,800,France,344,2025-05-05
163,394,Colombia,769,2024-05-19
164,269,Poland,134,2025-02-09
165,59,Japan,798,2024-12-09
166,360,China,289,2024-02-03
167,186,Japan,768,2024-12-15
168,65,Morocco,315,2024-12-08
169,161,Philippines,900,2025-09-26
170,286,Philippines,593,2025-10-02
171,450,France,443,2024-03-21
172,210,Brazil,543,2025-03-15
173,66,Philippines,262,2024-09-20
174,215,Kazakhstan,658,2024-05-05
175,498,Thailand,317,2025-06-04
176,72,China,121,2024-01-14
177,9,Poland,865,2025-05-26
178,10,China,11,2024-10-21
179,238,Poland,751,2025-01-17
180,536,Philippines,600,2025-12-20
181,418,Philippines,301,2025-09-04
182,278,China,285,2025-04-18
183,196,Peru,279,2024-02-01
184,420,Philippines,854,2025-09-08
185,264,Poland,352,2024-11-30
186,70,China,919,2025-07-18
187,749,Philippines,557,2024-11-16
188,73,Nigeria,217,2025-09-17
189,667,Sri Lanka,281,2024-10-30
190,369,China,600,2024-04-01
191,325,Brazil,644,2025-02-15
192,615,United States,609,2024-02-23
193,200,Portugal,611,2024-04-17
194,227,China,368,2024-08-17
195,216,China,501,2024-01-11
196,106,China,795,2025-09-13
197,75,Yemen,975,2024-12-27
198,728,Argentina,53,2025-10-25
199,459,United States,785,2025-01-06
200,755,Portugal,674,2025-02-23
201,518,Brazil,991,2024-06-23
202,678,Albania,664,2025-11-25
203,393,Brazil,436,2024-02-22
204,292,Sweden,258,2024-06-22
205,723,Guatemala,132,2025-08-15
206,68,France,926,2025-09-18
207,208,China,693,2024-08-11
208,268,Czech Republic,526,2025-01-27
209,81,Indonesia,455,2025-05-09
210,733,South Korea,892,2024-03-05
211,379,China,425,2024-11-05
212,34,Indonesia,80,2025-08-11
213,84,Nicaragua,834,2024-03-26
214,544,Bhutan,684,2025-10-13
215,21,Ukraine,271,2024-11-03
216,88,Colombia,148,2025-04-04
217,699,Indonesia,163,2025-12-17
218,63,South Africa,675,2025-12-12
219,525,United Arab Emirates,547,2025-04-14
220,392,Brazil,454,2025-09-05
221,598,Azerbaijan,89,2024-07-07
222,89,Indonesia,573,2025-12-04
223,91,China,234,2024-12-01
