id_product,product_name,category,price,stock
1,"Pork - Tenderloin, Fresh",bazaar,819.97,128
2,Pork - Belly Fresh,cosmetic,193.12,944
3,Wine - Fume Blanc Fetzer,pets,115.22,404
4,Mousse - Banana Chocolate,food,554.27,368
5,Cod - Black Whole Fillet,bazaar,316.51,586
6,Cream - 18%,food,757.98,776
7,"Wine - Red, Cabernet Merlot",cosmetic,680.65,503
8,"Juice - V8, Tomato",fishing,344.43,312
9,Rice - Basmati,fishing,135.22,865
10,Remy Red,food,178.57,11
11,"Halibut - Whole, Fresh",food,478.89,62
12,Grapes - Red,toys,956.91,613
13,Mousse - Passion Fruit,fishing,549.16,239
14,Soup Bowl Clear 8oz92008,pets,356.03,632
15,Icecream Cone - Areo Chocolate,fishing,499.83,517
16,Jerusalem Artichoke,fishing,452.68,470
17,Fish - Bones,bazaar,843.64,213
18,Wine - Sauvignon Blanc,fishing,249.1,952
19,Mints - Striped Red,food,428.72,906
20,Oil - Olive Bertolli,cosmetic,346.48,341
21,"Mushroom - Shitake, Fresh",cleaning,47.98,271
22,Sea Bass - Fillets,food,57.0,645
23,Quail - Jumbo Boneless,fishing,64.58,689
24,Salt - Celery,cleaning,224.41,271
25,Containter - 3oz Microwave Rect.,cosmetic,866.61,243
26,Quail - Jumbo,bazaar,27.12,146
27,Trueblue - Blueberry,food,411.91,664
28,"Apple - Delicious, Red",toys,296.28,848
29,"Chilli Paste, Ginger Garlic",pets,970.62,281
30,Longan,cleaning,759.28,844
31,Eggplant Oriental,fishing,790.28,610
32,Ecolab - Hobart Washarm End Cap,cleaning,440.94,426
33,Bread - Dark Rye,bazaar,511.11,751
34,Trueblue - Blueberry 12x473ml,food,957.77,80
35,"Mustard - Dry, Powder",food,490.86,953
36,Cheese - Brie Roitelet,bazaar,412.5,974
37,Chocolate Liqueur - Godet White,pets,320.41,31
38,Ice Cream - Vanilla,food,488.21,832
39,"Lamb - Whole, Frozen",pets,405.06,27
40,Table Cloth 72x144 White,food,536.81,385
41,Whmis - Spray Bottle Trigger,cosmetic,278.79,198
42,Raspberries - Frozen,fishing,502.12,592
43,Jameson - Irish Whiskey,cosmetic,744.01,940
44,Wine - Touraine Azay - Le - Rideau,pets,889.7,962
45,Wine - Mondavi Coastal Private,bazaar,89.2,673
46,Dip - Tapenade,toys,53.44,67
47,"Juice - V8, Tomato",food,631.66,195
48,Cake - Night And Day Choclate,cleaning,867.57,911
49,Pate - Cognac,cleaning,960.35,559
50,Lettuce - California Mix,bazaar,868.32,615
51,Garlic Powder,cosmetic,518.5,286
52,"Zucchini - Mini, Green",food,714.58,138
53,Compound - Strawberry,cosmetic,597.91,567
54,Glycerine,toys,122.71,814
55,Scallops - 20/30,bazaar,606.77,985
56,Lamb Leg - Bone - In Nz,bazaar,998.7,122
57,Garam Masala Powder,food,588.21,146
58,Lamb Rack Frenched Australian,food,328.7,500
59,"Chilli Paste, Sambal Oelek",food,742.89,798
60,Truffle Shells - Semi - Sweet,fishing,64.41,632
